FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
1	135403	316	676	756	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
2	135720	250	613	467	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
3	136286	83	389	670	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
4	136369	200	329	407	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
5	136569	150	299	802	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
6	136719	333	232	835	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
7	137052	383	502	801	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
8	137435	266	801	825	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
9	137702	233	808	440	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
10	137935	283	317	295	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
11	138218	316	436	311	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
12	138534	633	771	566	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
13	139167	150	376	788	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
14	139317	216	391	419	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
15	139534	200	291	316	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
16	139733	516	808	374	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
17	140250	250	408	490	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
18	140499	416	318	304	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
19	140916	200	356	368	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
20	141116	350	361	39	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
21	141466	350	363	364	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
22	141815	366	481	370	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
23	142182	383	282	352	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
24	142565	216	296	282	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
25	142998	283	317	5	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
26	143281	283	696	67	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
27	143564	316	579	21	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
28	143880	300	439	418	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
29	144180	283	321	309	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
30	144463	250	750	406	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
31	144713	283	814	582	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
32	144996	300	760	826	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
33	145296	216	694	753	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
34	145513	233	273	743	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
35	145746	200	307	242	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
36	145946	166	378	269	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
37	146728	250	321	407	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
38	146978	266	446	363	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
39	147245	216	390	588	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
40	147461	150	395	524	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
41	147611	250	296	749	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
42	147861	366	512	748	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
43	148227	150	471	750	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
44	148377	366	715	745	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
45	148744	433	982	741	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
46	149177	183	939	77	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
47	150026	200	716	6	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
48	150226	316	489	0	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
49	150542	333	378	10	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
50	150875	300	803	223	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
51	151175	200	856	503	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
52	151525	333	667	868	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
53	151858	233	585	771	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
54	152091	283	503	761	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
55	152374	300	713	756	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
56	152674	283	771	758	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
57	152957	350	979	750	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
58	153307	433	241	778	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
59	153740	933	502	767	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
60	154672	250	735	799	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
61	154922	200	699	739	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
62	155122	266	782	754	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
63	155622	200	751	801	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
64	155822	266	499	785	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
65	156088	350	519	843	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
66	156438	266	491	719	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
67	156704	233	407	469	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
68	156938	366	729	442	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
69	157304	283	328	308	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
70	157587	200	270	419	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
71	157787	400	350	789	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
72	158187	650	161	980	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
73	158836	183	418	675	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
74	159019	416	334	351	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
75	159436	266	434	392	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
76	159702	383	382	555	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
77	160085	250	418	588	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
78	160335	350	461	580	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
79	160685	799	419	578	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
80	161484	383	454	569	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
81	161867	200	401	565	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
82	162067	383	263	562	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
83	162450	633	304	558	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
84	163083	250	258	561	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
85	163333	266	427	563	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
86	163599	333	462	569	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
87	164099	117	408	559	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
88	164216	1615	457	564	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
89	165831	566	430	510	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
90	166397	216	448	548	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
91	166614	999	413	560	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
92	167613	1665	433	521	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
93	169278	383	408	575	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
94	169661	216	253	556	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
95	169878	133	304	552	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
96	170144	250	311	543	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
97	170394	300	274	567	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
98	170694	450	432	557	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
99	171144	366	471	53	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
100	171510	250	866	13	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
101	171760	283	492	596	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
102	172043	300	419	563	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
103	172343	466	289	553	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
104	172809	316	561	855	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
105	173126	183	481	756	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
106	173309	266	755	503	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
107	173575	216	876	772	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
108	173792	316	724	746	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
